id,stake,blocks
0x56f78c5402648dfe, 15060000, 8186
0xd808aa16c100b6f1, 24180000, 8144
0x43a7cf276f9cdbdc, 24030000, 8126
0x19521342d5379f3a, 72900000, 8121
0x54f5f261bb26bc18, 27220000, 8115
0x0d25da9fcab3e68b, 28140000, 8111
0x481d305a72b96386, 33580000, 8105
0x7d7ac07a1464f1a6, 32130000, 8090
0x8c289ee3b441fc22, 35000000, 8089
0xb619d366a7a8564c, 35550000, 8071
0xc4ded02c16752ed2, 27400000, 8069
0x9ad2692a07193edd, 26350000, 8060
0xbd8286b79b2932a5, 22640000, 8056
0x14cb79636420bca0, 23660000, 8054
0x94864d272d811232, 15500000, 7993
0xec3308ce85a15d8c, 40340000, 7965
0xaa65bf84f1e631aa, 46220000, 7960
0xdacdbb3e51633e1a, 70210000, 7944
0x5cfc3c331c21a905, 70000000, 7913
0x7d45120f6621d7bd, 70000000, 7899
0xcb11e3e5300a2b7e, 32230000, 7899
0x0840d05063d39562, 12480000, 7860
0x4e0356a87ac17cdf, 70400000, 7852
0x8e8053ca15dead06, 62090000, 7840
0x30c6319d4dfc0c54, 18020000, 7835
0x2e65f9aada9db85d, 17360000, 7813
0x988b7a8f22fbbf28, 64470000, 7809
0xbbe8aaed8893b970, 27670000, 7797
0x66958f349db22262, 70240000, 7676
0x28cf6c6ca229d380, 18510000, 7658
0xe0bfd78f124dfdc0, 22010000, 7651
0xa89b863747e4510a, 35640000, 7646
0x64e09628158450b0, 10990000, 7612
0xc27db0497c766a5b, 49750000, 7608
0xb91e740501510c05, 32180000, 7606
0x936f24e3ba38af8d, 22850000, 7567
0x7113de44e9c637b8, 21430000, 7558
0x793bab98ced39d92, 39860000, 7556
0x4987d8a8915dbf51, 70010000, 7541
0x3a2c7b317bb2dc66, 50010000, 7529
0x00beef0a3d477114, 24080000, 7509
0xe7b605b707031535, 17840000, 7506
0x903c38e5d20bb1c6, 36540000, 7502
0x07cc6744d3e9d3b5, 31970000, 7492
0xb0c53bbb9fc4ff27, 23210000, 7480
0x4ef0c287c3055ef6, 29240000, 7474
0xea595c6f4f7c5841, 1000000, 7441
0x6753045145fd056f, 14380000, 7438
0xe118432cf7655b86, 22230000, 7431
0xad1b668743bef78d, 10170000, 7430
0x0a423fa44499dd1d, 30210000, 7397
0x32fdb90d43ed7443, 50000000, 7368
0x32ae538b3e1b300c, 22450000, 7356
0xffcd73fd5bf168c3, 16810000, 7353
0x0c2cfc288c6c3448, 29680000, 7272
0xb59366e35d1d84aa, 16220000, 7272
0x09d37220101756bc, 11790000, 7239
0xf839821bdfd95c0b, 21810000, 7229
0x03ba7357225e12b0, 17090000, 7212
0x50e113d10131eb11, 17370000, 7203
0x9dfeca099722bd97, 9380000, 7176
0x571b0be3b05d6a75, 31880000, 7166
0xe594951f64807dfa, 19560000, 7090
0xf018942955e6ade1, 7910000, 7086
0x1ed4fce1e192c656, 59260000, 7054
0xfbf6753d572a6051, 64660000, 6997
0x3635fed0a4297069, 10650000, 6972
0xb6a310dfae5465de, 71190000, 6943
0xa95b4f8910caf7f9, 27860000, 6935
0x65ea43eaac9535ed, 15310000, 6929
0x0322ccfd64db7507, 29, 6917
0x1b2523e0456ef4d9, 29460000, 6915
0xf5b2ef0ddecceb66, 18990000, 6910
0xe455088c1a06cfe5, 118420, 6892
0xcf69a3ec905834aa, 12750000, 6887
0xdd7330d2a68d96d7, 24990000, 6877
0xe5c947f024223c21, 20050000, 6819
0x1d8988c2bca71b53, 7310000, 6817
0x584942758d596580, 34900000, 6803
0xb40683f41f5f29bf, 36570000, 6792
0x2f09336abe434081, 9220000, 6766
0x4a5571be71e4d130, 62190000, 6757
0x00000aed3c893f8e, 16190000, 6745
0x16d216d0b5391de1, 22350000, 6741
0x194bdd07fbbf1ace, 70770000, 6724
0xeaa28db383c79acd, 46420000, 6723
0x27526b2dc359f0d6, 70780000, 6721
0x971212dbf1096399, 21810000, 6698
0xfc88e862dca43f43, 19990000, 6689
0x3c2dedcd837770d5, 70760000, 6682
0x4728a5253162661f, 70740000, 6655
0xd4a3b6391cc59051, 30540000, 6624
0x65c47f527adc919e, 70710000, 6616
0xd2f12c2f084470d9, 7890000, 6563
0xd9ae0d65c903be94, 62230000, 6548
0x41c8a40a48b3c98d, 10330000, 6527
0x78da8fa29f5ee3c6, 64730000, 6517
0xc4a4b16baf9e39aa, 38760, 6482
0x6371c79316c6d44c, 10370000, 6417
0x0e3f803926f511ee, 20950000, 6414
0x9ffd5ceebf8fef49, 24690000, 6406
0x6c518b4861c4c368, 44900000, 6399
0x06b4d54e450267ec, 7850000, 6364
0xe811a4b2e0fbb8e3, 22170000, 6318
0xae66e56a10012d7a, 16220000, 6306
0x052100e6e1b1a1ac, 702700, 6303
0x6b5180a24c29abe8, 5820000, 6295
0x727ceb44eff1dd12, 19530000, 6284
0x83b8495a8abff48c, 50000000, 6272
0x40d04c1364369173, 19540000, 6240
0x20b95f873a8bc7fc, 4140, 6213
0x2313599826c29ef5, 35810000, 6190
0x15b5c320c0e8823e, 6400000, 6184
0x279d3af9b530c3a2, 30810, 6184
0x87021d78e60a7000, 5400000, 6127
0xc5d7ddd35617948b, 10740000, 6089
0x68ac3c1b2403b9fb, 14040000, 6080
0xafb33d38e40183d1, 22910000, 6040
0xccf9fa7bdbdd8f8f, 56370000, 6024
0x83b259c1dd8703c1, 13170000, 5991
0x2523d71a16a11f9c, 6810000, 5980
0x032f086aa8530e0f, 18200000, 5967
0x0338d4f18e824428, 39950000, 5910
0xc473846aff136a45, 26430000, 5886
0xf83cb781830a4d88, 188970, 5884
0x00beef379186a16e, 17490000, 5821
0x490353aa8b0274ba, 10230000, 5733
0xbdadf198d688a6fe, 27770000, 5731
0xabcdef7730719ae5, 6370000, 5688
0xe56066e8e4d61e5d, 9190000, 5685
0x62c337b4d89085af, 46400000, 5676
0x8efb0539ebad217f, 71390000, 5662
0x81e35f120390eca2, 70000000, 5651
0x7e82a9490cb3270b, 9910000, 5629
0x8e6f0aa07d8721f9, 5180, 5603
0xe75ff3539bae5f69, 10000000, 5601
0x0e773f937732961a, 15660000, 5577
0x9b97ad9844ed8bcb, 23170000, 5553
0x4deb0ba922f46348, 10000000, 5543
0xc63dab6ddf03827f, 11120000, 5527
0x163cc366971c99d4, 11810000, 5501
0xa6fc7ec649f7cb29, 22990000, 5483
